datetime,open,high,low,close,volume
2025-05-30 18:15:00,198.55,199.17999,198.50999,199.12,1172867
2025-05-30 18:30:00,199.12,199.2699,198.92,198.99001,1193571
2025-05-30 18:45:00,199.02,199.36,199.0007,199.32001,774382
2025-05-30 19:00:00,199.31,199.81,199.28889,199.6321,1230904
2025-05-30 19:15:00,199.63499,200.23,199.63029,200.0506,1454881
2025-05-30 19:30:00,200.07001,200.47,199.8,200.05,5932128
2025-05-30 19:45:00,200.05499,201.95,199.7401,200.66,8608243
2025-06-02 13:30:00,201.625,202.13,201.05,201.53999,4059005
2025-06-02 13:45:00,201.545,201.67,200.53,201.11,1956231
2025-06-02 14:00:00,201.06,201.13,200.12,200.66,1885311
2025-06-02 14:15:00,200.67999,200.75,200.13,200.53,966360
2025-06-02 14:30:00,200.52,201.05,200.35001,201.021,1107387
2025-06-02 14:45:00,201.0372,201.4872,200.95,201.435,1336265
2025-06-02 15:00:00,201.42999,201.99001,201.12,201.21001,1580031
2025-06-02 15:15:00,201.21001,201.285,200.627,200.71001,866605
2025-06-02 15:30:00,200.72,200.8423,200.3,200.5,919259
2025-06-02 15:45:00,200.49001,201.10001,200.45,201.005,867268
2025-06-02 16:00:00,201.01421,201.1187,200.715,201.05499,749829
2025-06-02 16:15:00,201.03999,201.10001,200.87,201.03,611509
2025-06-02 16:30:00,201.03,201.168,200.57001,200.64999,617820
2025-06-02 16:45:00,200.64,201.0135,200.60001,200.89349,470735
2025-06-02 17:00:00,200.895,201.12,200.86,200.95,608850
2025-06-02 17:15:00,200.98,201.12,200.86,200.86011,530061
2025-06-02 17:30:00,200.86,201.0036,200.65581,200.705,657494
2025-06-02 17:45:00,200.71001,200.92,200.58009,200.89999,537426
2025-06-02 18:00:00,200.89999,201.0448,200.63,200.92999,785303
2025-06-02 18:15:00,200.92999,201.53,200.92999,201.45399,824536
2025-06-02 18:30:00,201.45,201.53,201.22,201.27,575354
2025-06-02 18:45:00,201.27,201.3999,201.175,201.265,584118
2025-06-02 19:00:00,201.27,201.45,201.14,201.285,771214
2025-06-02 19:15:00,201.285,201.77991,201.22,201.66,874913
2025-06-02 19:30:00,201.64999,201.6669,201.42,201.5,1460738
2025-06-02 19:45:00,201.50999,201.80991,201.3,201.8,2512091
2025-06-03 13:30:00,202.13499,202.5923,200.955,202.00999,4754139
2025-06-03 13:45:00,202.015,203.055,201.87,202.55,2406243
2025-06-03 14:00:00,202.56,203.24001,202.185,202.28999,1748431
2025-06-03 14:15:00,202.28,202.42,201.61,201.74001,1419815
2025-06-03 14:30:00,201.74001,201.89999,201.5202,201.8446,1315578
2025-06-03 14:45:00,201.85001,202.14999,201.72501,202.05499,1097120
2025-06-03 15:00:00,202.06,202.59,202.06,202.53,1160241
2025-06-03 15:15:00,202.52,202.69,202.37,202.5,1178007
2025-06-03 15:30:00,202.52,202.58501,202.35001,202.45,780211
2025-06-03 15:45:00,202.46741,202.97,202.06,202.92,1027247
2025-06-03 16:00:00,202.92999,203.34,202.59,202.83,1382424
2025-06-03 16:15:00,202.83,203.22,202.75,203.05499,1028093
2025-06-03 16:30:00,203.06,203.74001,203.05,203.45,1329649
2025-06-03 16:45:00,203.455,203.455,203.00999,203.14999,777804
2025-06-03 17:00:00,203.14999,203.24001,202.89999,203.2,767798
2025-06-03 17:15:00,203.2,203.39999,202.72,203.31461,945320
2025-06-03 17:30:00,203.33501,203.77,203.285,203.60001,1045438
2025-06-03 17:45:00,203.63,203.66,203.17,203.215,658543
2025-06-03 18:00:00,203.23,203.27,202.5,202.66,888342
2025-06-03 18:15:00,202.655,203.10001,202.50999,203.09171,747185
2025-06-03 18:30:00,203.08,203.375,203.08,203.3454,659072
2025-06-03 18:45:00,203.36,203.41,203.14999,203.39999,601973
2025-06-03 19:00:00,203.395,203.4399,203.00999,203.16,863902
2025-06-03 19:15:00,203.155,203.3,202.99001,203.17999,866283
2025-06-03 19:30:00,203.17999,203.39,202.99001,203.0813,934771
2025-06-03 19:45:00,203.08,203.46989,202.98,203.34,3100337
2025-06-04 13:30:00,202.91,204.84,202.6508,204.533,5210457
2025-06-04 13:45:00,204.5484,205.36,204.25,205.0349,2358559
2025-06-04 14:00:00,205.06,206.24001,204.62,205.55,3188681
2025-06-04 14:15:00,205.55,205.78999,204.645,205.14,1880918
2025-06-04 14:30:00,205.12,205.17999,204.49001,204.50999,1041498
2025-06-04 14:45:00,204.52,204.64999,203.9901,204.28,1207311
2025-06-04 15:00:00,204.28999,204.71001,204.14999,204.325,1179279
2025-06-04 15:15:00,204.33,204.50999,204.09,204.09,1011057
2025-06-04 15:30:00,204.09,204.60001,202.14999,202.9399,2166929
2025-06-04 15:45:00,202.92999,203.82001,202.64,203.36,3077343
2025-06-04 16:00:00,203.35001,203.39,202.9082,202.94099,1030596
2025-06-04 16:15:00,202.94,203.32001,202.82001,202.83,855307
2025-06-04 16:30:00,202.82001,202.89999,202.61501,202.83,681726
2025-06-04 16:45:00,202.82001,203.27,202.82001,203.2,588043
2025-06-04 17:00:00,203.23,203.53,203.2,203.34,715452
2025-06-04 17:15:00,203.34,203.59,203.28999,203.41499,654001
2025-06-04 17:30:00,203.412,203.47,202.85001,203.095,719505
2025-06-04 17:45:00,203.095,203.36501,202.94881,203.28999,700449
2025-06-04 18:00:00,203.28999,203.39999,203.10001,203.17999,539229
2025-06-04 18:15:00,203.17,203.45,203.08,203.12,650407
2025-06-04 18:30:00,203.11,203.13,202.75999,202.99001,747006
2025-06-04 18:45:00,202.97,203.00999,202.765,202.935,620292
2025-06-04 19:00:00,202.92999,203.25,202.89999,203.09,785941
2025-06-04 19:15:00,203.08,203.24001,202.87,203.19,960934
2025-06-04 19:30:00,203.19,203.44769,203.05,203.11,1128686
2025-06-04 19:45:00,203.12,203.25,202.75999,202.88699,2414638
2025-06-05 13:30:00,203.595,203.84,202.66,203.5,3696292
2025-06-05 13:45:00,203.50999,203.59,201.27,201.57001,2497702
2025-06-05 14:00:00,201.56,202.3,201.48,201.651,1828040
2025-06-05 14:15:00,201.66,202.5338,201.35001,202.45,1769731
2025-06-05 14:30:00,202.45,203.28,201.6772,202.75999,2360912
2025-06-05 14:45:00,202.74001,203.33,202.42999,203.2,1337095
2025-06-05 15:00:00,203.2,203.55,203.06,203.4604,1132666
2025-06-05 15:15:00,203.4501,204.59,203.33,204.54379,1800847
2025-06-05 15:30:00,204.535,204.75,204.10001,204.21001,1521070
2025-06-05 15:45:00,204.22459,204.405,203.87109,204.16499,1012983
2025-06-05 16:00:00,204.16499,204.39,203.1554,203.1998,1143875
2025-06-05 16:15:00,203.0462,203.14,202.48,203.14,1114728
2025-06-05 16:30:00,203.14,203.25,202.7623,202.78999,831221
2025-06-05 16:45:00,202.78999,202.78999,201.6964,201.8437,1177501
2025-06-05 17:00:00,201.83501,202.215,201.55,202.17999,1118561
2025-06-05 17:15:00,202.17999,202.67,202.13,202.6001,823583
2025-06-05 17:30:00,202.60001,202.89999,202.53999,202.75999,676025
2025-06-05 17:45:00,202.765,202.89999,202.25,202.35001,619343
2025-06-05 18:00:00,202.37,202.41,201.83,201.98,716149
2025-06-05 18:15:00,201.98,202.215,201.14999,202.2104,1134369
2025-06-05 18:30:00,202.21001,202.6,202.06,202.53,789208
2025-06-05 18:45:00,202.52,202.72,202.27,202.35001,757988
2025-06-05 19:00:00,202.34,202.41,201.72,201.7701,895466
2025-06-05 19:15:00,201.785,201.95,200.2,200.73,2390617
2025-06-05 19:30:00,200.74001,201.395,200.62,200.8,1746210
2025-06-05 19:45:00,200.8,201.77,200.15961,200.55,4445208
2025-06-06 13:30:00,202.995,205.7,202.98309,204.505,6167027
2025-06-06 13:45:00,204.63,205.16,204.04,204.53999,2065362
2025-06-06 14:00:00,204.57001,204.7446,203.99001,204.295,1387234
